# ----------------------------------------
# Cage Code Site Data
# Network
# 20160401-20180407
# ----------------------------------------

Service Provider,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
patton air,16,12,40,12.50%,2.92,00:03:38,0.00%,0,$0.00
polkomtel sp. z o.o.,16,14,18,27.78%,1.94,00:00:16,0.00%,0,$0.00
precisio metals corp,16,16,30,0.00%,3.23,00:01:37,0.00%,0,$0.00
prima s.a.,16,14,16,25.00%,3.19,00:04:41,0.00%,0,$0.00
projects unlimited inc.,16,14,72,30.56%,2.69,00:03:32,0.00%,0,$0.00
pt prime - solucoes empresariais,16,14,16,31.25%,7.12,00:08:28,0.00%,0,$0.00
rcm technologies,16,16,80,17.50%,3.71,00:05:41,0.00%,0,$0.00
regus group services ltd,16,14,35,28.57%,2.83,00:01:46,0.00%,0,$0.00
rexnord industries llc,16,17,27,11.11%,4.56,00:03:30,0.00%,0,$0.00
rockwell automation,16,16,18,5.56%,3.06,00:04:57,0.00%,0,$0.00
s pore technologies aerospace pte ltd,16,14,22,4.55%,11.09,00:11:07,0.00%,0,$0.00
san diego composites,16,16,20,25.00%,2.65,00:00:24,0.00%,0,$0.00
sas ab,16,16,33,12.12%,4.06,00:03:07,0.00%,0,$0.00
scottish and southern energy plc,16,13,74,27.03%,2.49,00:06:35,0.00%,0,$0.00
so1-84745,16,16,18,16.67%,3.17,00:01:23,0.00%,0,$0.00
social security administration,16,16,17,23.53%,3.06,00:01:54,0.00%,0,$0.00
solnet-bb-rezerve,16,14,17,70.59%,1.82,00:01:08,0.00%,0,$0.00
sprint kansas city pop,16,16,25,36.00%,2.40,00:01:42,0.00%,0,$0.00
taas,16,17,37,8.11%,4.73,00:07:03,0.00%,0,$0.00
tammetal product,16,16,22,18.18%,2.86,00:01:04,0.00%,0,$0.00
telegia,16,14,27,11.11%,2.56,00:00:30,0.00%,0,$0.00
tellcom esentepe adsl pool,16,14,23,0.00%,2.78,00:02:40,0.00%,0,$0.00
tiscali uk ltd,16,16,18,50.00%,4.11,00:02:51,0.00%,0,$0.00
tsi gmbh fuer germanwings gmbh,16,16,40,12.50%,2.50,00:00:46,0.00%,0,$0.00
tt adsl-ttnet _dynamic_aci,16,7,51,25.49%,4.51,00:09:28,0.00%,0,$0.00
turbo resources international,16,16,18,0.00%,3.33,00:01:33,0.00%,0,$0.00
turknet-dsl,16,12,25,20.00%,3.28,00:04:10,0.00%,0,$0.00
u.s. small business administration,16,17,17,41.18%,3.12,00:01:21,0.00%,0,$0.00
universal asset management,16,16,37,2.70%,3.11,00:03:34,0.00%,0,$0.00
universal telecom ltd xdsl static,16,16,17,5.88%,6.59,00:06:44,0.00%,0,$0.00
university of maryland,16,16,17,29.41%,2.76,00:01:28,0.00%,0,$0.00
vodafone ono s.a.,16,16,20,5.00%,2.75,00:02:12,0.00%,0,$0.00
xs4all internet bv,16,10,43,32.56%,2.91,00:04:27,0.00%,0,$0.00
yulista aviation inc,16,16,53,7.55%,3.08,00:03:06,0.00%,0,$0.00
zodiac aerospace,16,14,29,10.34%,5.00,00:07:51,0.00%,0,$0.00
acc - anillo industries,14,14,27,44.44%,2.11,00:00:48,0.00%,0,$0.00
adsl customers for orange,14,12,17,47.06%,2.00,00:00:40,0.00%,0,$0.00
adv ground systems eng,14,16,93,10.75%,3.26,00:04:01,0.00%,0,$0.00
advanced cable communications,14,16,22,22.73%,4.27,00:03:07,0.00%,0,$0.00
aecom government services australia pty ltd,14,13,226,33.63%,2.37,00:05:47,0.00%,0,$0.00
aero kool corp.,14,13,22,4.55%,4.86,00:05:11,0.00%,0,$0.00
assurance manufacturing,14,16,16,18.75%,2.31,00:00:20,0.00%,0,$0.00
astro model development,14,14,44,11.36%,2.66,00:03:03,0.00%,0,$0.00
atlantech online inc.,14,14,16,18.75%,6.12,00:05:31,0.00%,0,$0.00
awcc afghanistan. live in future.,14,16,21,23.81%,2.19,00:00:38,0.00%,0,$0.00
aydin yazilim ve elektronik sanayii a.s.,14,16,60,15.00%,4.78,00:06:28,0.00%,0,$0.00
beijing teletron telecom engineering co. ltd.,14,16,48,14.58%,3.90,00:04:31,0.00%,0,$0.00
beteulnespcgamebang,14,16,25,0.00%,18.28,00:07:46,0.00%,0,$0.00
bharti cellular limited c-34 phase -2 industrial area ground,14,13,37,27.03%,4.89,00:08:10,0.00%,0,$0.00
bollinger ship yard,14,14,31,3.23%,5.29,00:04:13,0.00%,0,$0.00
bras pools - secunderabad,14,14,14,35.71%,2.64,00:00:34,0.00%,0,$0.00
brazilian aeronautical commission in europe,14,14,16,56.25%,2.19,00:01:38,0.00%,0,$0.00
breeze-eastern corp,14,18,26,15.38%,2.46,00:01:54,0.00%,0,$0.00
brighthouse networks bakersfield,14,14,18,38.89%,2.83,00:04:46,0.00%,0,$0.00
broadband for pt,14,8,26,15.38%,3.81,00:09:21,0.00%,0,$0.00
broadband multiplay project o/o dgm bb noc bsnl,14,8,77,61.04%,5.82,00:07:45,0.00%,0,$0.00
california state university office of the chancellor,14,14,14,28.57%,3.07,00:01:37,0.00%,0,$0.00
chunghwa telecom data communication business group,14,12,14,35.71%,2.86,00:01:55,0.00%,0,$0.00
clarity telecom llc,14,14,16,6.25%,3.00,00:02:32,0.00%,0,$0.00
cobridge communications,14,14,16,6.25%,3.12,00:00:33,0.00%,0,$0.00
cogecodata,14,16,29,3.45%,2.66,00:02:12,0.00%,0,$0.00
colombia telecomunicaciones s.a. esp,14,13,16,31.25%,2.50,00:00:53,0.00%,0,$0.00
customers static ip,14,13,68,5.88%,2.38,00:02:50,0.00%,0,$0.00
dsl home subscribers,14,10,34,67.65%,1.38,00:00:13,0.00%,0,$0.00
eatel,14,14,16,6.25%,3.31,00:03:27,0.00%,0,$0.00
ebv elektronik gmbh & co.kg,14,14,22,22.73%,3.82,00:03:42,0.00%,0,$0.00
entreprise des p&t,14,14,21,33.33%,2.38,00:01:33,0.00%,0,$0.00
etisalat af,14,14,18,22.22%,3.33,00:07:27,0.00%,0,$0.00
fluor enterprises inc.,14,14,14,7.14%,2.43,00:00:26,0.00%,0,$0.00
ftip003245354 lufthansa technik landing gear services uk ltd,14,17,40,7.50%,5.02,00:05:10,0.00%,0,$0.00
gas technology institute,14,14,17,5.88%,2.82,00:00:46,0.00%,0,$0.00
global iletisim hizmetleri a.s.,14,10,43,16.28%,2.88,00:03:52,0.00%,0,$0.00
grande communications austin,14,14,21,38.10%,2.62,00:00:38,0.00%,0,$0.00
gryphon technologies,14,14,14,7.14%,4.21,00:01:46,0.00%,0,$0.00
h3g s.p.a.,14,14,18,27.78%,2.11,00:01:31,0.00%,0,$0.00
hong kong telecommunications (hkt) limited business internet,14,14,48,10.42%,3.12,00:01:21,0.00%,0,$0.00
howell instruments inc,14,16,78,39.74%,2.36,00:02:25,0.00%,0,$0.00
hrvatski telekom d.d.,14,14,17,17.65%,3.12,00:02:54,0.00%,0,$0.00
ihs global inc,14,10,18,5.56%,3.56,00:01:06,0.00%,0,$0.00
intec industrie-technik gmbh &co. kg,14,14,18,5.56%,3.06,00:03:15,0.00%,0,$0.00
kihomac,14,14,21,4.76%,3.81,00:02:57,0.00%,0,$0.00
kit pack co inc,14,14,30,0.00%,4.67,00:03:06,0.00%,0,$0.00
liberty cablevision - caguas,14,14,31,12.90%,2.87,00:03:55,0.00%,0,$0.00
life technologies corp.,14,14,16,25.00%,4.50,00:03:07,0.00%,0,$0.00
lsi,14,12,31,3.23%,3.61,00:08:04,0.00%,0,$0.00
lufthansa systems ag,14,7,20,0.00%,4.10,00:07:07,0.00%,0,$0.00
megatel informations- und kommunikationssysteme gmbh,14,14,17,29.41%,2.82,00:02:43,0.00%,0,$0.00
merix,14,17,47,2.13%,2.66,00:01:07,0.00%,0,$0.00
micro coax,14,12,16,18.75%,2.88,00:00:31,0.00%,0,$0.00
microchip technology inc.,14,14,23,13.04%,5.04,00:04:40,0.00%,0,$0.00
microwave development lab,14,16,26,11.54%,3.62,00:00:58,0.00%,0,$0.00
multimedia polska s. a.,14,14,16,43.75%,2.69,00:00:59,0.00%,0,$0.00
national institute of standards and technology,14,13,14,7.14%,3.00,00:00:31,0.00%,0,$0.00
ncnet broadband customers,14,14,40,57.50%,1.60,00:01:40,0.00%,0,$0.00
ndi engineering,14,16,27,0.00%,3.44,00:01:17,0.00%,0,$0.00
neways electronics international n.v.,14,14,52,13.46%,3.88,00:03:15,0.00%,0,$0.00
oak ridge national laboratory,14,14,18,16.67%,5.72,00:05:13,0.00%,0,$0.00
oneneck it services corporation,14,14,17,17.65%,3.24,00:01:59,0.00%,0,$0.00
orange uk 3g/gprs subscribers,14,13,26,61.54%,1.81,00:01:13,0.00%,0,$0.00
ouk broadband ip stream,14,13,14,35.71%,2.86,00:00:54,0.00%,0,$0.00
pa dedienne aerospace,14,14,39,7.69%,2.74,00:01:32,0.00%,0,$0.00
panasonic avionics corporation,14,14,14,7.14%,3.57,00:02:37,0.00%,0,$0.00
parsons corporation,14,14,23,30.43%,4.96,00:06:47,0.00%,0,$0.00
people tec inc,14,14,34,26.47%,2.56,00:02:15,0.00%,0,$0.00
pioneer long distance inc.,14,13,116,33.62%,3.08,00:07:21,0.00%,0,$0.00
plexicomm llc,14,14,99,8.08%,2.59,00:01:28,0.00%,0,$0.00
reliance steel,14,14,20,15.00%,3.00,00:00:48,0.00%,0,$0.00
rightclick,14,14,90,13.33%,3.90,00:07:56,0.00%,0,$0.00
rogerson aircraft corp.,14,16,25,12.00%,3.64,00:03:48,0.00%,0,$0.00
sab infotech ltd,14,14,34,2.94%,3.74,00:02:09,0.00%,0,$0.00
sanford airport authority,14,13,18,5.56%,5.50,00:03:30,0.00%,0,$0.00
shenzhenshiluohuquhepingluyifengguangchangczuo32h,14,14,53,32.08%,3.02,00:05:42,0.00%,0,$0.00
sierra tel internet,14,13,14,7.14%,3.36,00:01:06,0.00%,0,$0.00
sipal spa,14,14,29,10.34%,5.59,00:07:04,0.00%,0,$0.00
skywest airlines inc.,14,13,211,3.32%,2.49,00:02:53,0.00%,0,$0.00
soi aviation,14,12,266,19.92%,2.82,00:07:45,0.00%,0,$0.00
spirit airlines/pip2,14,14,21,14.29%,3.62,00:06:08,0.00%,0,$0.00
sprint atlanta pop,14,13,25,56.00%,1.56,00:00:19,0.00%,0,$0.00
sprint fort worth pop,14,13,14,50.00%,2.71,00:01:20,0.00%,0,$0.00
st aerospace engineering pte ltd,14,14,18,5.56%,2.22,00:00:25,0.00%,0,$0.00
starhub-ltd-ngnbn-services,14,9,21,23.81%,3.00,00:02:38,0.00%,0,$0.00
state of maryland,14,13,25,12.00%,2.88,00:02:27,0.00%,0,$0.00
sum yiu lau,14,14,25,0.00%,3.44,00:00:48,0.00%,0,$0.00
superhub ltd.,14,14,146,27.40%,2.90,00:03:48,0.00%,0,$0.00
teldix gmbh,14,14,16,18.75%,2.69,00:01:32,0.00%,0,$0.00
telecommunications xittel inc.,14,14,40,20.00%,2.80,00:01:12,0.00%,0,$0.00
the lincoln electric company,14,13,25,4.00%,2.68,00:01:33,0.00%,0,$0.00
thomas & betts corporation,14,14,18,16.67%,2.44,00:00:34,0.00%,0,$0.00
thomson reuters u.s. llc,14,14,14,35.71%,2.43,00:02:18,0.00%,0,$0.00
troy cablevision inc.,14,13,14,0.00%,4.00,00:01:50,0.00%,0,$0.00
u.s. agency for international development,14,14,17,41.18%,3.00,00:00:47,0.00%,0,$0.00
unitymedia b2b aggregate,14,14,176,14.77%,3.92,00:07:34,0.00%,0,$0.00
unknown,14,9,43,2.33%,2.95,00:02:10,0.00%,0,$0.00
urban custom homes inc. dba,14,13,38,2.63%,2.63,00:02:08,0.00%,0,$0.00
us dept of justice,14,14,16,18.75%,2.38,00:01:28,0.00%,0,$0.00
valley tool,14,14,16,6.25%,2.38,00:00:42,0.00%,0,$0.00
vantage i.c. llc,14,14,20,40.00%,1.90,00:01:53,0.00%,0,$0.00
vector communications ltd,14,13,25,20.00%,3.96,00:04:46,0.00%,0,$0.00
verizon internet services,14,14,14,35.71%,4.21,00:05:57,0.00%,0,$0.00
vodafone libertel b.v.,14,14,31,9.68%,11.42,00:15:31,0.00%,0,$0.00
weschler instruments,14,14,16,0.00%,3.12,00:00:33,0.00%,0,$0.00
wo supply,14,14,16,0.00%,4.56,00:10:50,0.00%,0,$0.00
wyle labs,14,14,27,0.00%,3.00,00:01:47,0.00%,0,$0.00
young & franklin inc,14,13,17,17.65%,6.24,00:05:45,0.00%,0,$0.00
3 points aviation corp.,13,10,44,18.18%,3.80,00:03:20,0.00%,0,$0.00
abovenet communications inc,13,12,13,23.08%,2.69,00:01:02,0.00%,0,$0.00
ace electronics,13,13,17,23.53%,3.06,00:00:48,0.00%,0,$0.00
addresses for smart phones kiryat arie,13,10,23,52.17%,2.00,00:03:08,0.00%,0,$0.00
adsl-ulus-static pool,13,13,17,23.53%,3.53,00:01:55,0.00%,0,$0.00
advanced testing tech,13,10,38,10.53%,2.95,00:01:32,0.00%,0,$0.00
aero chip,13,13,17,17.65%,2.76,00:02:27,0.00%,0,$0.00
aerologic gmbh,13,14,20,0.00%,3.05,00:00:44,0.00%,0,$0.00
airborne systems north america of ca inc.,13,9,44,6.82%,3.80,00:02:45,0.00%,0,$0.00
alestra comunicacion s de rl de cv,13,13,18,50.00%,2.94,00:01:20,0.00%,0,$0.00
alro group,13,13,57,1.75%,4.56,00:03:25,0.00%,0,$0.00
alsatis wisp network,13,12,81,3.70%,2.84,00:00:41,0.00%,0,$0.00
alten,13,12,21,4.76%,2.38,00:03:10,0.00%,0,$0.00
amro fabricating corporation,13,13,47,17.02%,3.66,00:04:45,0.00%,0,$0.00
anaheim precision manufacturing,13,12,251,6.37%,2.78,00:02:49,0.00%,0,$0.00
arlington international aviation,13,5,68,4.41%,2.84,00:01:38,0.00%,0,$0.00
bayan telecommunications incorporated,13,12,22,18.18%,3.05,00:03:28,0.00%,0,$0.00
bcl east infinity building tower one 1st floor sector- v salt,13,10,51,19.61%,3.71,00:07:52,0.00%,0,$0.00
beltelecom,13,12,13,61.54%,1.69,00:00:33,0.00%,0,$0.00
ben lomand rural telephone cooperative inc.,13,13,13,53.85%,2.62,00:00:23,0.00%,0,$0.00
biaero,13,12,38,26.32%,2.50,00:01:19,0.00%,0,$0.00
botschaft des staates israel,13,13,98,16.33%,2.85,00:02:00,0.00%,0,$0.00
bouygues telecom sa,13,12,22,31.82%,2.36,00:00:25,0.00%,0,$0.00
brighthouse networks central florida division,13,13,13,38.46%,2.85,00:00:42,0.00%,0,$0.00
broadband ip range,13,13,14,21.43%,2.36,00:02:57,0.00%,0,$0.00
btc broadband inc.,13,12,14,35.71%,2.43,00:04:03,0.00%,0,$0.00
c d brasil ltda,13,10,30,40.00%,3.67,00:04:14,0.00%,0,$0.00
cable onda,13,12,40,20.00%,10.58,00:23:32,0.00%,0,$0.00
cardinal scientific,13,10,26,3.85%,3.27,00:04:08,0.00%,0,$0.00
cathay pacific airways ltd.,13,10,18,5.56%,4.22,00:03:47,0.00%,0,$0.00
cf roark engineering,13,13,17,0.00%,4.76,00:04:49,0.00%,0,$0.00
checkcare,13,13,20,15.00%,3.40,00:03:25,0.00%,0,$0.00
chinanet hunan province network,13,13,127,22.83%,2.22,00:03:05,0.00%,0,$0.00
chinanet-zj jiaxing node network,13,12,31,25.81%,2.26,00:03:58,0.00%,0,$0.00
clear lake independant,13,12,55,0.00%,2.80,00:00:33,0.00%,0,$0.00
colt technology services group limited,13,12,29,10.34%,3.00,00:04:07,0.00%,0,$0.00
computer science corp,13,8,37,2.70%,3.70,00:02:21,0.00%,0,$0.00
cost effective,13,13,16,18.75%,3.00,00:05:54,0.00%,0,$0.00
cruzio,13,13,13,7.69%,2.54,00:00:43,0.00%,0,$0.00
dslam infrastructure south,13,13,14,28.57%,2.43,00:01:22,0.00%,0,$0.00
dynamic ip pool for broadband customers,13,13,13,92.31%,1.31,00:00:16,0.00%,0,$0.00
eircom ltd,13,13,23,17.39%,5.65,00:03:55,0.00%,0,$0.00
etihad atheeb telecom company,13,10,43,6.98%,2.58,00:02:48,0.00%,0,$0.00
evolveip,13,13,27,14.81%,3.52,00:02:13,0.00%,0,$0.00
exetel broadband users,13,10,95,28.42%,3.11,00:05:59,0.00%,0,$0.00
ferguson enterprises inc.,13,12,16,18.75%,2.19,00:02:35,0.00%,0,$0.00
first united methodist church,13,13,17,5.88%,3.47,00:01:07,0.00%,0,$0.00
florida turbine technologies inc,13,13,40,2.50%,14.90,00:16:23,0.00%,0,$0.00
frontier airlines inc,13,13,29,17.24%,2.31,00:01:00,0.00%,0,$0.00
ftip003194782 aerotron limited,13,13,42,9.52%,2.21,00:00:26,0.00%,0,$0.00
genuine parts company,13,13,16,31.25%,3.56,00:01:08,0.00%,0,$0.00
globalia sistemas y comunicaciones s.l.,13,13,18,5.56%,3.06,00:00:36,0.00%,0,$0.00
gte intelligent network services,13,13,16,18.75%,3.25,00:03:21,0.00%,0,$0.00
guangzhou minghangzhongnankongguang manage center,13,16,43,39.53%,2.09,00:02:54,0.00%,0,$0.00
guild associates inc,13,13,40,10.00%,3.98,00:05:56,0.00%,0,$0.00
hardware specialty co inc,13,10,39,7.69%,3.00,00:00:49,0.00%,0,$0.00
heath techna,13,13,42,2.38%,4.76,00:07:49,0.00%,0,$0.00
hellermanntyton gmbh,13,10,17,5.88%,2.71,00:02:06,0.00%,0,$0.00
hi rel laboratory,13,14,52,5.77%,2.38,00:00:40,0.00%,0,$0.00
hong kong express airways limited,13,13,20,45.00%,3.05,00:03:46,0.00%,0,$0.00
hutchison max telecom limited,13,12,17,58.82%,1.82,00:00:17,0.00%,0,$0.00
ihgco att,13,10,14,21.43%,3.07,00:04:26,0.00%,0,$0.00
infineon technologies ag,13,13,14,50.00%,3.14,00:03:40,0.00%,0,$0.00
internet vpn (200mb) for penny giles controls limited vpn13024,13,12,16,0.00%,4.06,00:05:24,0.00%,0,$0.00
itps-inet-mbaero,13,13,25,4.00%,3.56,00:03:02,0.00%,0,$0.00
jetair nv,13,12,164,4.27%,2.88,00:01:54,0.00%,0,$0.00
kellstrom commercial aerospace inc.,13,12,35,14.29%,6.11,00:09:24,0.00%,0,$0.00
kpn b.v.,13,12,17,23.53%,5.59,00:05:27,0.00%,0,$0.00
kreisler import b.v.,13,10,274,16.79%,3.05,00:05:08,0.00%,0,$0.00
lease line customers,13,13,97,9.28%,3.19,00:04:18,0.00%,0,$0.00
leaseweb usa inc.,13,9,17,41.18%,2.53,00:01:52,0.00%,0,$0.00
lnaub656 aubervilliers bloc 1,13,13,40,12.50%,2.85,00:02:18,0.00%,0,$0.00
lognet,13,13,20,0.00%,4.50,00:13:13,0.00%,0,$0.00
lsan03 rback7 basic 63.196.156.0,13,14,25,4.00%,6.72,00:03:47,0.00%,0,$0.00
maxis broadband sdn bhd,13,10,17,29.41%,2.53,00:02:04,0.00%,0,$0.00
mayaguez site - choice cable tv,13,13,13,0.00%,6.46,00:02:48,0.00%,0,$0.00
metronet carrier grade nat pool,13,13,68,30.88%,3.00,00:05:06,0.00%,0,$0.00
moscow russia,13,13,16,62.50%,3.31,00:04:51,0.00%,0,$0.00
mouser electronics,13,13,16,6.25%,2.75,00:01:47,0.00%,0,$0.00
mtc ksa,13,12,14,28.57%,3.14,00:01:41,0.00%,0,$0.00
murphx xdsl,13,12,18,27.78%,3.17,00:01:56,0.00%,0,$0.00
newroz telecom ltd.,13,13,14,64.29%,1.93,00:00:29,0.00%,0,$0.00
north carolina research and education network,13,13,13,30.77%,2.23,00:00:38,0.00%,0,$0.00
northland communications,13,13,17,5.88%,2.94,00:01:33,0.00%,0,$0.00
northwest florida holdings,13,13,40,10.00%,3.68,00:05:26,0.00%,0,$0.00
nv-orbit-alchut-1,13,13,17,17.65%,3.47,00:02:57,0.00%,0,$0.00
onvoy,13,13,21,0.00%,3.24,00:02:41,0.00%,0,$0.00
orange wbc broadband,13,10,14,35.71%,3.00,00:05:17,0.00%,0,$0.00
orizzonte sistemi navali public subnet,13,12,61,11.48%,4.49,00:14:00,0.00%,0,$0.00
pcg trading llc d/b/a converge,13,12,13,23.08%,2.85,00:01:48,0.00%,0,$0.00
playonline,13,13,16,43.75%,1.88,00:01:25,0.00%,0,$0.00
praxair inc,13,13,16,25.00%,2.31,00:01:03,0.00%,0,$0.00
pt. telekomunikasi selular (telkomsel) indonesia,13,10,14,50.00%,3.57,00:01:10,0.00%,0,$0.00
radiografica costarricense,13,13,20,5.00%,3.85,00:02:13,0.00%,0,$0.00
regionair information systems,13,8,114,3.51%,2.41,00:01:36,0.00%,0,$0.00
regional one,13,9,56,7.14%,4.30,00:06:00,0.00%,0,$0.00
rossell india ltd,13,12,14,21.43%,2.43,00:01:59,0.00%,0,$0.00
royal jordanian air forc,13,12,13,0.00%,3.38,00:01:37,0.00%,0,$0.00
scansafe zur1 (int),13,13,16,18.75%,3.75,00:02:39,0.00%,0,$0.00
schneider automation inc.,13,13,13,53.85%,2.23,00:01:59,0.00%,0,$0.00
seal dynamics llc,13,9,18,22.22%,2.67,00:00:51,0.00%,0,$0.00
seednet-taipeidp-s,13,13,18,44.44%,3.06,00:02:32,0.00%,0,$0.00
seyer industries - saint peter,13,13,86,13.95%,2.90,00:04:09,0.00%,0,$0.00
sid-15031 ci - gogo llc,13,12,13,7.69%,2.85,00:01:07,0.00%,0,$0.00
signet b.v.,13,10,22,22.73%,2.68,00:01:01,0.00%,0,$0.00
sky fiber internet,13,5,67,10.45%,5.31,00:02:27,0.00%,0,$0.00
sonfarrel,13,12,77,22.08%,2.77,00:02:08,0.00%,0,$0.00
sprint orlando pop,13,13,13,23.08%,2.92,00:01:27,0.00%,0,$0.00
state of illinois,13,13,29,10.34%,6.24,00:06:04,0.00%,0,$0.00
tata teleservices ltd - tata indicom - cdma division,13,10,14,35.71%,3.57,00:02:43,0.00%,0,$0.00
telair international gmbh,13,13,33,9.09%,4.45,00:03:23,0.00%,0,$0.00
telecom italia s.p.a,13,10,14,28.57%,3.71,00:05:56,0.00%,0,$0.00
telefonica de espana sau red de servicios ip spain,13,12,13,30.77%,2.31,00:00:24,0.00%,0,$0.00
telefonica germany gmbh & co.ohg,13,13,17,17.65%,3.24,00:02:19,0.00%,0,$0.00
teljet,13,13,14,21.43%,2.21,00:00:30,0.00%,0,$0.00
texas a&m university,13,13,17,17.65%,2.94,00:01:26,0.00%,0,$0.00
thales canada inc,13,7,72,13.89%,5.64,00:18:29,0.00%,0,$0.00
the royal jordanian airlines plc,13,10,30,26.67%,2.57,00:02:00,0.00%,0,$0.00
toulouse,13,12,14,28.57%,3.36,00:01:41,0.00%,0,$0.00
tremcar hutchinson,13,13,14,28.57%,5.29,00:05:32,0.00%,0,$0.00
trident space & defense,13,12,14,28.57%,2.21,00:00:37,0.00%,0,$0.00
tt adsl static-1.bolge,13,10,151,4.64%,5.92,00:12:23,0.00%,0,$0.00
tt adsl-ttnet-ulus-dinamic,13,9,30,10.00%,5.00,00:03:27,0.00%,0,$0.00
university of florida,13,13,14,21.43%,3.07,00:01:31,0.00%,0,$0.00
university of washington,13,13,13,7.69%,3.00,00:01:08,0.00%,0,$0.00
university of wisconsin madison,13,13,13,0.00%,4.38,00:02:35,0.00%,0,$0.00
us armed forces afghanistan,13,10,27,18.52%,2.70,00:02:32,0.00%,0,$0.00
us forest service,13,13,14,35.71%,2.79,00:03:23,0.00%,0,$0.00
usf dslam south,13,13,16,31.25%,2.75,00:05:35,0.00%,0,$0.00
utilities kingston,13,10,73,4.11%,5.93,00:09:39,0.00%,0,$0.00
velocloud networks inc.,13,13,13,7.69%,3.38,00:01:51,0.00%,0,$0.00
virgin australia airlines pty ltd,13,13,29,0.00%,2.76,00:01:20,0.00%,0,$0.00
ward lenard electr,13,13,17,5.88%,4.47,00:04:07,0.00%,0,$0.00
wartsilla,13,14,23,56.52%,2.26,00:01:21,0.00%,0,$0.00
wificity,13,13,13,38.46%,3.23,00:02:57,0.00%,0,$0.00
wildwood electronics,13,9,410,21.71%,2.72,00:04:34,0.00%,0,$0.00
wt-cmts-pppoe-private-customer,13,9,30,16.67%,4.30,00:01:25,0.00%,0,$0.00
xmission l.c.,13,14,14,21.43%,9.86,00:03:20,0.00%,0,$0.00
yhc corporation,13,13,27,25.93%,5.26,00:03:27,0.00%,0,$0.00
zodiac seats,13,13,18,0.00%,4.28,00:01:33,0.00%,0,$0.00
123.net inc.,12,12,16,6.25%,3.19,00:01:04,0.00%,0,$0.00
abl aero inc-050408012714,12,12,111,9.01%,3.73,00:03:03,0.00%,0,$0.00
acc-applied optical systems i,12,12,12,0.00%,3.83,00:01:52,0.00%,0,$0.00
acme worldwide ent,12,12,56,53.57%,2.14,00:01:42,0.00%,0,$0.00
address pool for ltc-home customers,12,12,17,52.94%,2.24,00:00:16,0.00%,0,$0.00
addresses used to provide broadband access to telkom internet cu,12,10,25,32.00%,7.20,00:18:34,0.00%,0,$0.00
aftel,12,12,13,7.69%,2.92,00:04:05,0.00%,0,$0.00
aldershot,12,9,51,5.88%,3.45,00:02:16,0.00%,0,$0.00
align aerospace france sas,12,10,31,9.68%,4.10,00:01:51,0.00%,0,$0.00
allegiant travel company,12,12,12,0.00%,2.58,00:00:38,0.00%,0,$0.00
allison transmission,12,12,12,8.33%,3.67,00:04:29,0.00%,0,$0.00
alsalam aircraft co.,12,12,14,0.00%,4.07,00:03:09,0.00%,0,$0.00
amphenol borisch technologies,12,8,80,43.75%,2.10,00:01:51,0.00%,0,$0.00
anaren microwave,12,12,25,4.00%,4.28,00:02:07,0.00%,0,$0.00
anser information technology division,12,12,21,19.05%,2.67,00:05:40,0.00%,0,$0.00
aphenol optimize manufacturing,12,12,13,23.08%,2.38,00:00:48,0.00%,0,$0.00
apolo -gold-telecom-per,12,12,13,76.92%,1.31,00:00:10,0.00%,0,$0.00
arinc wireless broadband,12,12,23,0.00%,2.48,00:01:31,0.00%,0,$0.00
arkwin industries,12,12,13,0.00%,3.08,00:00:37,0.00%,0,$0.00
atx telecommunications services,12,12,14,35.71%,3.00,00:00:53,0.00%,0,$0.00
axtel - recursos wimax,12,10,14,50.00%,2.14,00:02:36,0.00%,0,$0.00
b/e aerospace inc,12,10,12,8.33%,3.08,00:00:37,0.00%,0,$0.00
banner metal,12,12,12,8.33%,3.83,00:01:34,0.00%,0,$0.00
barracuda networks inc.,12,9,20,5.00%,4.70,00:13:48,0.00%,0,$0.00
bcl east 7th floor infinity towers salt lake sector-v electronic,12,12,12,0.00%,2.92,00:00:46,0.00%,0,$0.00
beeline-moscow gprs firewall,12,12,12,75.00%,1.75,00:00:33,0.00%,0,$0.00
bei precision systems and space division,12,12,25,16.00%,3.64,00:02:49,0.00%,0,$0.00
bell aliant regional communications inc.,12,12,12,41.67%,2.25,00:01:28,0.00%,0,$0.00
bhn-detr,12,12,12,41.67%,1.75,00:00:14,0.00%,0,$0.00
brighthouse networks birmingham,12,12,12,8.33%,3.25,00:02:11,0.00%,0,$0.00
broadband services,12,12,14,21.43%,9.29,00:03:53,0.00%,0,$0.00
btc broadband service,12,12,12,25.00%,2.58,00:00:47,0.00%,0,$0.00
cable & wireless panama,12,12,67,14.93%,12.76,00:28:01,0.00%,0,$0.00
cablecolor s.a.,12,12,14,21.43%,3.00,00:01:54,0.00%,0,$0.00
cambridge man customers,12,12,14,21.43%,3.43,00:03:59,0.00%,0,$0.00
cantv servicios venezuela,12,12,16,50.00%,2.19,00:00:26,0.00%,0,$0.00
cargotec corporation,12,10,84,3.57%,2.87,00:03:08,0.00%,0,$0.00
caucasus online llc,12,10,14,21.43%,3.43,00:00:46,0.00%,0,$0.00
cavalier telephone,12,10,27,14.81%,3.15,00:01:51,0.00%,0,$0.00
